Production_ID,Plant_ID,Machine_ID,Operator_ID,Product_Type,Shift,Production_Date,Raw_Material_Batch,Temperature_C,Pressure_Bar,Humidity_Percent,Cycle_Time_Sec,Units_Produced,Defective_Units,Energy_Consumption_kWh,Downtime_Minutes,Maintenance_Score,Quality_Score,Inventory_Level,Delivery_Time_Hours
31,3,110,1034,D,Night,2025-01-02 06:00:00,5184,80.54,12.21,63.82,96.94,189,5,216.51,23,8,92,3384,23.02
32,4,122,1051,C,Night,2025-01-02 07:00:00,6092,79.02,12.91,64.74,105.6,351,1,172.73,29,3,70,1316,28.15
33,4,125,1033,C,Evening,2025-01-02 08:00:00,6852,78.2,12.25,51.53,117.4,335,0,200.62,29,1,78,1390,20.31
34,1,133,1040,D,Morning,2025-01-02 09:00:00,6153,76.97,10.62,57.23,119.36,399,10,200.39,38,9,72,4321,20.27
35,3,145,1050,A,Morning,2025-01-02 10:00:00,6590,73.02,13.75,56.1,106.92,265,15,195.39,56,8,99,601,24.07
36,5,133,1046,C,Morning,2025-01-02 11:00:00,6913,68.77,12.0,32.38,139.56,81,2,257.54,47,4,78,2971,34.61
37,3,128,1081,A,Night,2025-01-02 12:00:00,6632,74.35,9.5,43.83,132.97,352,4,179.35,46,8,89,486,30.43
38,5,103,1057,C,Night,2025-01-02 13:00:00,5847,77.83,12.31,62.54,95.33,137,14,261.95,36,5,94,511,29.49
39,1,116,1074,B,Evening,2025-01-02 14:00:00,5598,75.36,12.71,48.34,125.18,112,14,290.24,32,3,98,2106,17.14
40,2,134,1056,C,Morning,2025-01-02 15:00:00,5805,69.67,14.94,59.24,119.31,459,3,214.44,19,1,84,2247,24.73
41,4,112,1022,D,Night,2025-01-02 16:00:00,6654,74.17,12.61,57.1,138.66,436,3,246.6,53,5,93,3968,28.11
42,1,140,1047,D,Morning,2025-01-02 17:00:00,6743,73.91,9.78,64.72,96.45,328,7,236.57,21,6,76,1438,34.43
43,4,138,1021,A,Evening,2025-01-02 18:00:00,6357,74.69,9.83,44.09,150.9,123,6,233.54,40,4,73,452,15.58
44,2,114,1016,C,Evening,2025-01-02 19:00:00,6948,77.45,13.89,58.15,107.36,355,16,147.78,57,7,94,3288,27.65
45,2,128,1068,A,Evening,2025-01-02 20:00:00,6177,78.53,10.8,54.48,125.68,469,14,204.93,20,3,89,1402,29.32
46,1,128,1010,A,Morning,2025-01-02 21:00:00,6570,72.5,9.68,48.68,110.9,173,4,308.46,36,7,86,946,26.26
47,2,110,1093,B,Night,2025-01-02 22:00:00,5078,79.91,13.5,48.63,114.36,318,12,262.95,53,1,91,625,17.25
48,5,131,1014,B,Night,2025-01-02 23:00:00,5578,80.66,11.29,56.82,94.66,431,3,240.34,26,7,73,2624,25.27
49,2,101,1090,D,Evening,2025-01-03 00:00:00,6878,76.6,13.42,60.04,137.95,334,16,169.17,37,1,95,1978,26.14
50,4,146,1034,A,Night,2025-01-03 01:00:00,5412,78.32,10.63,55.51,115.96,471,16,273.73,34,1,88,4205,24.89
51,4,113,1032,D,Evening,2025-01-03 02:00:00,5545,79.92,14.21,55.76,116.98,170,13,213.53,37,2,97,3730,20.58
52,4,119,1083,C,Morning,2025-01-03 03:00:00,6632,69.51,13.31,51.01,154.69,395,13,200.5,39,2,74,3909,19.96
53,4,121,1015,A,Evening,2025-01-03 04:00:00,5168,80.27,10.92,51.54,134.39,261,16,204.51,59,4,85,2919,26.28
54,5,110,1033,A,Morning,2025-01-03 05:00:00,5680,71.05,9.51,48.66,109.97,438,7,270.43,5,1,72,3007,20.62
55,3,126,1065,C,Evening,2025-01-03 06:00:00,6686,71.54,15.46,50.85,110.85,197,1,247.16,31,4,80,3177,20.73
56,1,102,1098,C,Night,2025-01-03 07:00:00,5582,75.98,11.68,59.76,123.9,127,12,284.58,15,2,94,3930,23.3
57,4,116,1039,D,Night,2025-01-03 08:00:00,5514,64.28,10.86,60.65,131.56,414,15,295.03,27,4,97,1158,24.8
58,2,143,1027,D,Evening,2025-01-03 09:00:00,6337,75.88,14.08,44.79,146.29,63,15,220.42,15,4,91,2589,29.19
59,4,127,1046,C,Night,2025-01-03 10:00:00,5031,79.91,13.42,47.83,95.88,185,5,248.29,26,9,84,3748,18.02
60,2,128,1038,D,Night,2025-01-03 11:00:00,5286,66.77,13.77,49.32,130.91,353,3,237.88,52,9,88,3364,17.53
61,2,120,1069,C,Night,2025-01-03 12:00:00,5593,80.45,11.85,54.49,133.32,446,2,195.53,2,1,90,3701,22.09
62,4,146,1072,A,Morning,2025-01-03 13:00:00,6066,71.51,14.82,41.53,108.16,329,5,201.28,48,5,93,2393,15.0
63,5,115,1019,A,Night,2025-01-03 14:00:00,6926,76.03,10.03,47.97,114.6,128,3,243.43,20,7,83,774,26.93
64,2,136,1000,B,Morning,2025-01-03 15:00:00,5616,72.23,11.17,43.92,95.55,292,17,247.72,37,4,85,1978,14.03
65,2,119,1071,A,Evening,2025-01-03 16:00:00,6024,77.86,12.58,58.2,112.49,242,5,247.8,37,5,93,1111,27.54
66,4,105,1086,C,Night,2025-01-03 17:00:00,6596,80.12,13.75,54.76,123.48,467,4,247.87,29,2,75,893,29.55
67,2,118,1062,D,Night,2025-01-03 18:00:00,5269,78.24,12.99,51.3,143.91,291,8,217.36,21,3,74,332,25.3
68,2,104,1066,B,Night,2025-01-03 19:00:00,6203,74.98,11.88,46.49,145.3,100,10,334.86,18,7,90,3127,14.71
69,4,102,1003,D,Evening,2025-01-03 20:00:00,6759,72.62,11.29,51.42,104.56,281,5,259.27,30,7,86,3709,24.53
70,4,100,1057,C,Morning,2025-01-03 21:00:00,5517,74.65,13.76,50.48,141.87,308,15,226.98,19,4,85,2273,20.02
71,1,137,1024,A,Morning,2025-01-03 22:00:00,6126,78.28,13.15,68.08,90.76,433,18,266.09,46,1,71,3484,17.99
72,5,114,1046,B,Night,2025-01-03 23:00:00,6033,78.45,10.69,62.98,111.23,424,10,215.95,18,1,97,4706,26.9
73,5,133,1037,C,Evening,2025-01-04 00:00:00,5582,77.75,10.64,49.47,115.47,267,14,251.07,1,4,80,2428,27.83
74,2,134,1014,B,Evening,2025-01-04 01:00:00,6113,68.59,11.18,56.32,123.78,255,8,266.03,39,4,73,897,30.43
75,5,148,1062,B,Evening,2025-01-04 02:00:00,5225,74.88,10.99,62.55,121.6,363,18,272.04,38,6,75,3784,22.58
76,2,124,1020,A,Evening,2025-01-04 03:00:00,5669,71.83,13.54,49.47,125.49,430,18,199.71,26,7,96,4587,24.86
77,1,123,1098,C,Evening,2025-01-04 04:00:00,6763,78.32,12.65,43.66,117.26,418,8,371.16,7,9,76,4577,32.33
78,4,111,1056,D,Morning,2025-01-04 05:00:00,5916,71.18,12.84,40.63,134.39,360,3,297.27,44,9,86,2689,34.48
79,4,117,1052,B,Morning,2025-01-04 06:00:00,5125,77.26,12.29,65.18,130.38,424,9,331.3,53,5,77,4801,29.4
80,4,114,1045,B,Morning,2025-01-04 07:00:00,5955,73.59,12.36,53.47,115.66,169,8,239.76,26,3,97,4311,22.25
81,5,143,1013,D,Night,2025-01-04 08:00:00,6232,65.6,9.63,57.33,132.64,129,18,259.87,14,3,70,608,24.04
82,1,115,1099,C,Evening,2025-01-04 09:00:00,6120,79.65,13.19,50.41,151.03,91,14,251.46,11,6,94,1563,23.11
83,5,126,1075,B,Night,2025-01-04 10:00:00,5073,74.87,11.15,44.86,109.9,70,18,228.12,46,1,84,3462,27.53
84,5,107,1016,B,Evening,2025-01-04 11:00:00,6650,81.38,11.95,46.35,145.13,59,1,280.3,13,7,89,3210,19.9
85,1,145,1038,B,Morning,2025-01-04 12:00:00,6214,66.67,11.29,44.27,111.25,362,9,214.65,6,3,81,1147,25.61
86,1,124,1008,C,Night,2025-01-04 13:00:00,6705,73.54,12.22,61.8,141.15,202,18,277.93,16,5,84,4971,25.63
87,1,116,1098,C,Morning,2025-01-04 14:00:00,6842,73.92,12.86,66.94,111.81,361,16,230.08,25,7,92,4535,25.92
88,1,128,1076,D,Evening,2025-01-04 15:00:00,6983,76.35,10.49,55.3,131.48,343,19,265.96,36,7,96,268,18.89
89,4,107,1078,C,Evening,2025-01-04 16:00:00,6739,68.37,12.38,42.86,122.69,135,1,308.47,19,9,99,1661,25.24
90,3,114,1081,C,Evening,2025-01-04 17:00:00,5055,77.72,11.33,58.97,93.22,162,18,244.68,9,1,91,3272,32.85
91,3,126,1096,A,Morning,2025-01-04 18:00:00,5719,84.56,13.98,65.12,148.73,238,16,281.21,18,3,84,674,21.72
92,1,145,1005,D,Evening,2025-01-04 19:00:00,5552,77.37,10.33,62.77,106.57,161,17,229.64,17,9,98,1842,25.3
93,3,149,1090,B,Morning,2025-01-04 20:00:00,5031,75.46,10.5,54.77,100.96,224,16,202.75,29,8,78,4670,14.79
94,3,106,1022,C,Night,2025-01-04 21:00:00,6550,68.11,11.46,53.12,110.41,359,1,316.47,29,2,85,4116,25.26
95,1,102,1058,B,Evening,2025-01-04 22:00:00,5573,71.13,10.61,54.7,157.97,351,18,279.91,24,8,99,2458,25.08
96,3,128,1090,B,Evening,2025-01-04 23:00:00,5666,74.72,11.66,64.8,101.19,53,0,244.62,23,8,71,4124,24.58
97,5,143,1097,A,Evening,2025-01-05 00:00:00,5283,72.35,11.21,61.08,122.67,271,10,277.86,9,2,84,630,27.65
98,2,123,1045,C,Night,2025-01-05 01:00:00,6744,80.13,12.13,51.91,103.15,499,9,209.34,1,8,84,1090,22.6
99,2,102,1037,D,Evening,2025-01-05 02:00:00,6855,77.67,13.51,51.71,105.72,270,4,267.69,37,3,96,2220,29.88
100,1,119,1013,C,Morning,2025-01-05 03:00:00,6517,88.46,12.11,51.15,96.01,220,15,258.68,31,7,76,2541,19.58
101,4,145,1099,B,Morning,2025-01-05 04:00:00,5186,70.1,12.24,46.48,124.73,367,4,276.02,34,9,96,2628,31.22
102,1,114,1071,D,Evening,2025-01-05 05:00:00,5497,75.17,10.41,65.81,117.58,262,11,315.67,50,4,90,2620,25.06
103,4,124,1061,C,Evening,2025-01-05 06:00:00,6465,68.08,11.8,48.7,103.03,302,3,307.93,36,6,82,4508,23.64
104,2,129,1034,B,Night,2025-01-05 07:00:00,5129,63.89,11.37,58.92,133.1,173,5,194.45,6,9,92,1561,16.84
105,1,113,1018,B,Night,2025-01-05 08:00:00,5638,78.61,13.02,49.71,134.68,177,18,170.19,6,5,86,1051,18.45
106,5,106,1029,A,Night,2025-01-05 09:00:00,6315,77.48,10.85,51.18,126.11,262,8,259.83,26,1,80,1064,25.75
107,3,116,1077,A,Evening,2025-01-05 10:00:00,5113,70.73,10.71,54.09,137.56,161,11,256.77,9,3,96,2234,20.42
108,4,143,1083,A,Night,2025-01-05 11:00:00,6222,75.47,12.48,59.36,114.76,134,14,204.55,32,9,79,4554,28.98
109,3,119,1024,B,Night,2025-01-05 12:00:00,5012,71.85,14.97,52.93,124.84,53,15,211.57,42,3,94,794,25.44
110,3,135,1039,C,Morning,2025-01-05 13:00:00,6294,72.53,11.74,45.89,114.82,114,12,219.19,54,2,70,2344,16.87
111,1,108,1087,A,Night,2025-01-05 14:00:00,6624,73.4,12.25,55.15,97.39,367,6,303.4,6,4,83,2903,27.81
112,3,137,1013,C,Morning,2025-01-05 15:00:00,6238,70.52,13.42,48.87,123.29,395,19,231.1,5,5,74,4011,23.19
113,5,147,1025,A,Morning,2025-01-05 16:00:00,5443,71.42,12.76,67.35,122.38,169,3,189.84,5,7,99,3124,23.77
114,3,121,1086,D,Night,2025-01-05 17:00:00,6813,71.56,12.77,52.92,119.55,292,10,247.42,12,7,77,1508,29.22
115,1,101,1021,D,Morning,2025-01-05 18:00:00,6535,77.11,11.86,49.66,125.61,435,7,249.89,47,9,70,4693,17.03
116,5,123,1047,A,Evening,2025-01-05 19:00:00,5446,61.13,11.89,70.8,141.18,186,5,208.72,12,8,76,3078,18.38
117,2,107,1082,B,Evening,2025-01-05 20:00:00,5985,73.86,10.87,60.91,116.93,296,9,273.62,1,2,71,561,25.63
118,3,110,1050,A,Night,2025-01-05 21:00:00,5992,69.56,12.73,47.83,105.64,490,6,295.49,18,8,76,1717,15.51
119,1,112,1002,A,Evening,2025-01-05 22:00:00,5714,69.74,12.7,48.67,116.28,94,6,235.78,50,8,76,516,20.96
120,2,116,1041,B,Morning,2025-01-05 23:00:00,5073,72.37,13.08,58.79,117.95,195,3,189.84,18,5,78,1488,28.89
121,2,107,1018,D,Evening,2025-01-06 00:00:00,5536,74.93,11.27,55.35,134.75,417,2,239.05,49,3,91,4467,23.46
122,4,120,1072,C,Night,2025-01-06 01:00:00,5100,73.93,13.25,62.12,121.6,225,6,262.07,56,9,73,4587,17.13
123,5,117,1027,A,Night,2025-01-06 02:00:00,5175,69.68,13.7,49.7,102.78,91,3,163.68,37,7,92,2694,24.95
124,3,129,1083,B,Morning,2025-01-06 03:00:00,5426,78.61,10.18,60.61,132.08,346,12,269.26,1,1,76,4920,21.98
125,1,117,1044,A,Night,2025-01-06 04:00:00,6140,70.49,11.55,37.09,129.68,138,19,235.0,50,8,89,1846,20.49
126,4,145,1070,B,Evening,2025-01-06 05:00:00,6189,71.33,13.76,53.76,121.61,267,16,251.75,25,5,87,3601,41.78
127,5,146,1077,C,Night,2025-01-06 06:00:00,5040,76.42,11.03,50.06,134.22,491,6,238.42,5,6,82,2959,26.87
128,4,130,1062,C,Morning,2025-01-06 07:00:00,5428,76.6,12.79,51.36,136.73,277,16,219.86,19,9,80,4078,22.58
129,5,137,1072,D,Night,2025-01-06 08:00:00,5343,71.94,12.01,54.18,114.34,347,3,245.56,22,8,78,4590,28.49
130,5,131,1018,B,Evening,2025-01-06 09:00:00,6447,60.32,12.5,64.11,106.5,340,10,229.64,53,3,83,4857,22.55
131,3,110,1046,B,Morning,2025-01-06 10:00:00,5365,70.57,12.06,45.77,119.82,471,2,235.7,14,5,77,952,21.41
132,5,144,1013,D,Evening,2025-01-06 11:00:00,6143,75.81,13.12,37.5,128.05,116,10,214.78,5,4,90,3390,25.5
133,4,124,1037,D,Morning,2025-01-06 12:00:00,5608,78.44,10.47,46.7,118.42,300,2,271.47,27,1,83,1811,26.54
134,5,132,1052,B,Night,2025-01-06 13:00:00,5656,74.6,10.63,63.18,105.17,90,11,299.47,34,5,90,2625,28.63
135,3,137,1060,D,Morning,2025-01-06 14:00:00,5727,72.61,14.2,41.84,122.44,148,0,215.07,10,7,86,3746,31.12
136,3,140,1035,C,Morning,2025-01-06 15:00:00,5228,86.47,15.15,50.42,89.5,355,3,245.33,7,1,96,2130,29.94
137,4,107,1039,A,Night,2025-01-06 16:00:00,5824,73.14,11.99,61.72,115.13,409,13,206.19,56,4,94,336,28.28
138,2,110,1080,C,Evening,2025-01-06 17:00:00,6153,78.06,14.57,54.53,132.77,391,0,265.52,53,6,96,1156,28.8
139,2,121,1029,D,Night,2025-01-06 18:00:00,6375,68.32,10.84,64.03,133.58,128,13,258.97,49,9,83,2360,29.92
140,5,123,1008,B,Morning,2025-01-06 19:00:00,5888,69.55,11.2,38.72,63.6,350,12,226.84,48,8,95,2526,27.55
141,1,140,1063,B,Night,2025-01-06 20:00:00,6341,78.24,14.19,52.43,117.11,248,12,246.69,50,2,96,1125,16.07
142,5,116,1032,C,Morning,2025-01-06 21:00:00,5983,80.22,13.21,65.7,128.99,196,14,284.61,50,3,93,1008,26.49
143,4,111,1051,B,Night,2025-01-06 22:00:00,6672,73.05,14.41,45.98,102.36,155,16,185.71,23,5,74,549,30.88
144,4,145,1088,D,Night,2025-01-06 23:00:00,5835,65.76,12.7,63.28,114.42,450,11,198.33,20,7,79,668,19.99
145,4,131,1013,C,Evening,2025-01-07 00:00:00,6360,74.16,10.48,53.11,138.12,242,13,273.27,48,3,75,3598,22.04
146,4,114,1074,B,Morning,2025-01-07 01:00:00,6296,75.95,12.34,58.47,112.74,171,11,252.18,58,7,97,2960,23.7
147,4,115,1052,A,Evening,2025-01-07 02:00:00,5116,75.49,13.8,65.12,143.98,126,17,247.19,35,5,79,2426,24.95
148,3,121,1098,A,Morning,2025-01-07 03:00:00,5817,72.18,11.8,58.44,108.88,361,3,287.72,6,6,80,4409,21.22
149,2,127,1058,D,Night,2025-01-07 04:00:00,5367,74.24,11.57,50.27,141.15,161,13,278.18,4,6,95,1408,24.29
150,4,119,1077,B,Morning,2025-01-07 05:00:00,6117,71.25,12.73,59.5,120.5,398,18,318.6,57,4,93,817,26.57
151,1,132,1093,D,Evening,2025-01-07 06:00:00,5167,69.44,11.16,49.71,106.83,346,12,285.8,28,8,75,1069,13.95
152,1,109,1040,C,Evening,2025-01-07 07:00:00,5953,78.78,12.44,57.19,141.2,219,17,271.03,15,9,79,3445,24.37
153,1,139,1067,A,Evening,2025-01-07 08:00:00,6738,75.49,12.1,44.99,101.9,55,10,247.84,5,2,83,2585,22.09
154,1,131,1067,C,Morning,2025-01-07 09:00:00,6364,74.25,11.26,55.23,108.06,246,5,244.23,13,9,89,3755,15.47
155,3,149,1091,B,Evening,2025-01-07 10:00:00,5660,72.46,13.47,64.51,127.35,147,8,249.87,57,4,72,2818,26.82
156,1,132,1007,D,Evening,2025-01-07 11:00:00,6937,74.1,12.97,52.61,121.21,378,11,258.92,51,6,76,1003,25.56
157,4,101,1001,D,Evening,2025-01-07 12:00:00,5694,75.8,11.47,63.75,124.11,279,18,201.73,1,7,98,1550,24.82
158,5,132,1085,D,Night,2025-01-07 13:00:00,5924,83.64,11.98,79.75,114.48,217,13,260.54,24,4,71,1555,27.05
159,1,132,1040,C,Night,2025-01-07 14:00:00,5151,78.27,11.59,54.77,102.01,346,14,240.27,30,8,76,4330,25.61
160,3,140,1054,A,Morning,2025-01-07 15:00:00,5585,71.67,11.04,59.91,110.22,314,10,264.28,49,8,86,631,20.31
161,3,112,1015,C,Morning,2025-01-07 16:00:00,6900,71.72,9.45,58.81,139.81,57,5,226.89,49,1,82,2367,27.61
162,1,129,1092,C,Evening,2025-01-07 17:00:00,5912,70.94,11.27,56.8,99.95,221,13,223.62,12,8,95,432,28.47
163,5,132,1061,B,Night,2025-01-07 18:00:00,5273,74.0,11.06,61.3,144.67,491,2,259.23,59,3,90,1421,18.57
164,1,112,1047,B,Evening,2025-01-07 19:00:00,6577,70.94,12.17,53.02,124.74,409,18,269.09,17,5,78,4152,28.4
165,3,125,1029,B,Evening,2025-01-07 20:00:00,5495,77.37,12.66,49.7,111.05,244,19,225.84,16,8,82,1808,22.58
166,2,121,1011,A,Night,2025-01-07 21:00:00,6747,61.78,10.8,42.79,89.97,318,10,302.77,44,6,84,3626,27.06
167,4,138,1034,A,Night,2025-01-07 22:00:00,5100,77.68,12.56,52.26,91.94,68,16,302.49,27,4,82,500,24.76
168,3,101,1010,B,Night,2025-01-07 23:00:00,5556,76.38,10.57,62.21,114.66,403,16,186.71,11,4,86,3730,23.14
169,1,137,1063,B,Morning,2025-01-08 00:00:00,6105,81.31,11.81,47.48,112.84,401,2,218.92,34,4,77,3137,26.7
170,4,138,1049,A,Morning,2025-01-08 01:00:00,6552,79.38,11.1,56.97,121.77,98,13,254.65,21,6,78,4091,22.33
171,1,125,1084,D,Evening,2025-01-08 02:00:00,5072,71.58,13.12,54.02,145.79,405,6,264.83,38,7,78,1578,29.4
172,1,145,1020,A,Morning,2025-01-08 03:00:00,6037,78.82,12.18,50.03,128.06,387,18,335.29,0,5,77,2014,30.22
173,2,149,1068,A,Night,2025-01-08 04:00:00,6456,74.16,11.83,40.18,118.07,207,2,255.64,36,8,85,1157,21.26
174,4,114,1047,A,Night,2025-01-08 05:00:00,5156,65.33,11.06,65.9,138.25,115,1,245.34,20,7,89,3093,23.16
175,4,133,1019,B,Morning,2025-01-08 06:00:00,5734,75.79,11.51,59.14,122.26,396,16,204.48,0,8,99,141,22.13
176,2,141,1066,D,Evening,2025-01-08 07:00:00,5131,71.88,14.74,76.32,144.0,108,8,186.58,3,4,99,4996,25.88
177,3,143,1043,A,Evening,2025-01-08 08:00:00,6361,75.0,11.25,63.64,109.92,358,5,244.65,31,8,76,2270,30.55
178,1,148,1032,B,Morning,2025-01-08 09:00:00,6018,83.26,12.72,65.72,102.78,357,8,332.3,57,6,86,126,15.66
179,5,139,1072,C,Evening,2025-01-08 10:00:00,6427,76.12,11.83,41.01,90.0,386,4,241.53,0,3,76,3633,16.91
180,1,110,1060,C,Evening,2025-01-08 11:00:00,6399,69.91,12.68,40.87,118.42,208,1,219.09,12,8,75,2718,23.58
181,1,102,1008,A,Evening,2025-01-08 12:00:00,6911,79.82,13.26,55.34,101.48,320,14,268.08,45,7,74,1270,24.93
182,3,105,1067,C,Night,2025-01-08 13:00:00,5558,76.81,11.47,45.82,101.27,170,8,169.78,46,5,86,3798,19.29
183,1,108,1034,D,Night,2025-01-08 14:00:00,5106,69.32,13.06,49.55,135.51,303,18,253.17,16,4,77,810,24.9
184,2,105,1080,C,Morning,2025-01-08 15:00:00,6643,66.97,16.13,75.21,94.17,453,9,282.98,11,1,95,3299,20.3
185,2,108,1097,C,Night,2025-01-08 16:00:00,5264,70.11,12.85,64.52,121.55,310,3,212.1,6,3,70,2523,21.77
186,4,138,1087,D,Evening,2025-01-08 17:00:00,6228,79.18,14.42,47.51,118.75,184,9,304.75,54,2,85,2118,30.35
187,5,130,1095,A,Night,2025-01-08 18:00:00,6102,73.49,12.72,36.07,121.38,323,7,276.39,50,8,86,4860,22.28
188,1,131,1064,A,Morning,2025-01-08 19:00:00,5154,75.41,10.6,46.84,140.76,105,12,305.12,54,8,99,4978,22.2
189,1,140,1007,D,Night,2025-01-08 20:00:00,6806,68.31,12.41,50.54,107.61,380,6,194.95,2,5,72,2998,24.66
190,3,149,1044,D,Evening,2025-01-08 21:00:00,5987,79.32,11.5,52.43,140.77,145,6,242.77,49,5,82,2147,29.46
191,2,111,1086,D,Evening,2025-01-08 22:00:00,5996,64.92,11.11,44.77,93.6,163,3,286.89,25,4,77,1658,23.78
192,5,107,1046,C,Morning,2025-01-08 23:00:00,5246,71.72,11.89,64.04,129.76,406,14,190.09,30,1,85,3694,21.21
193,4,107,1039,D,Night,2025-01-09 00:00:00,5530,77.09,11.77,49.31,142.15,478,11,287.88,35,1,93,1822,26.9
194,2,149,1075,B,Night,2025-01-09 01:00:00,5857,69.39,10.41,60.19,59.19,77,15,242.81,25,6,99,4152,28.06
195,4,127,1053,C,Night,2025-01-09 02:00:00,6971,78.07,16.06,55.43,119.47,355,5,287.59,2,4,76,1751,29.72
196,3,119,1075,A,Evening,2025-01-09 03:00:00,5537,70.65,13.21,62.51,118.25,51,8,258.7,43,4,90,1878,23.82
197,3,146,1045,A,Morning,2025-01-09 04:00:00,5728,68.87,12.37,53.1,121.08,261,2,306.43,54,3,84,783,26.38
198,1,106,1046,A,Night,2025-01-09 05:00:00,6177,81.43,12.13,47.6,145.67,117,7,198.32,27,9,93,1379,27.95
199,5,110,1014,C,Evening,2025-01-09 06:00:00,5153,75.77,13.8,50.21,108.55,177,6,263.16,43,3,71,2394,24.91
200,4,119,1018,B,Evening,2025-01-09 07:00:00,6709,77.6,15.11,50.32,102.23,382,3,189.54,16,8,93,2110,30.6
201,2,115,1025,D,Evening,2025-01-09 08:00:00,5091,80.09,13.03,71.52,121.19,73,12,266.78,37,2,97,1315,27.26
202,3,103,1051,D,Night,2025-01-09 09:00:00,6456,61.9,12.18,55.61,136.86,302,18,263.11,46,4,96,2682,33.41
